name,english_name,operator,power,source,method,wikidata_id,latitude,longitude,municipality,county,country
Seepsula 1,,Seepsula oy,,solar,photovoltaic,,,,,,
Seepsula 2,,Seepsula oy,,solar,photovoltaic,,,,,,
Sähkötehdas,,Panelian Voima Oy,,hydro,,,,,,,
Topinojan biokaasulaitos,,Gasum Oy,,biomass,,,,,,,
UPM Kymi Mill (Kuusankoski PVO) Power Station,,,,biomass,,Q18660336,,,,,
UPM-Kymmene Wisapower Biomass Power Station,,,,biomass,,,,,,,
Uimaharju Enocell Mill Power Station,,,,biomass,,,,,,,
Veikkarin Lämpökeskus,,Hyvinkään Lämpövoima Oy,,biomass,combustion,,,,,,
Vesikoski,,,,hydro,,,,,,,
"Vesivoimalaitos, Inkeroinen",,,,hydro,,,,,,,
Voimala,,,,hydro,,,,,,,
Vuokkoharjun biolämpölaitos,,,,biomass,,,,,,,
Vuolenkosken voimalaitos,,,,hydro,run-of-the-river,Q25452515,,,,,
Vuolteen voimalaitos,,Sallila Energia,,hydro,,,,,,,
[unnamed],,Savulahden päiväkotikoulu,,solar,photovoltaic,,,,,,
[unnamed],,Savulahden päiväkotikoulu,,solar,photovoltaic,,,,,,
[unnamed],,,,wind,wind_turbine,,,,,,
[unnamed],,,,wind,,,,,,,
[unnamed],,,,wind,wind_turbine,,,,,,
[unnamed],,,,solar,photovoltaic,,,,,,
[unnamed],,,,solar,photovoltaic,,,,,,
[unnamed],,,,solar,photovoltaic,,,,,,
[unnamed],,,,solar,photovoltaic,,,,,,
